0:0:0:0:0:0:0:1 - - [09/May/2020:08:21:35 +0700] "DELETE /zio.com/api-cart HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [09/May/2020:08:21:37 +0700] "GET /zio.com/cart HTTP/1.1" 200 8349
0:0:0:0:0:0:0:1 - - [09/May/2020:08:21:39 +0700] "GET /zio.com/product?categoryId=1&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 5742
0:0:0:0:0:0:0:1 - - [09/May/2020:08:22:46 +0700] "GET /zio.com/cart HTTP/1.1" 200 8349
0:0:0:0:0:0:0:1 - - [09/May/2020:08:22:47 +0700] "GET /zio.com/product?categoryId=2&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 5176
0:0:0:0:0:0:0:1 - - [09/May/2020:08:22:48 +0700] "GET /zio.com/product?categoryId=1&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 5742
0:0:0:0:0:0:0:1 - - [09/May/2020:08:22:48 +0700] "GET /zio.com/template/images/image34.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:08:22:48 +0700] "GET /zio.com/product?categoryId=2&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 5176
0:0:0:0:0:0:0:1 - - [09/May/2020:08:22:49 +0700] "GET /zio.com/product?categoryId=3&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 5174
0:0:0:0:0:0:0:1 - - [09/May/2020:08:22:50 +0700] "GET /zio.com/product?categoryId=4&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 5179
0:0:0:0:0:0:0:1 - - [09/May/2020:08:22:51 +0700] "GET /zio.com/product?categoryId=5&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 5741
0:0:0:0:0:0:0:1 - - [09/May/2020:08:22:51 +0700] "GET /zio.com/template/images/image35.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:08:22:52 +0700] "GET /zio.com/product?categoryId=4&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 5179
0:0:0:0:0:0:0:1 - - [09/May/2020:08:22:52 +0700] "GET /zio.com/product?categoryId=3&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 5174
0:0:0:0:0:0:0:1 - - [09/May/2020:08:22:53 +0700] "GET /zio.com/product?categoryId=2&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 5176
0:0:0:0:0:0:0:1 - - [09/May/2020:08:22:54 +0700] "GET /zio.com/product?categoryId=1&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 5742
