0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:51 +0700] "GET /zio.com/image?id=62 HTTP/1.1" 500 13914
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:51 +0700] "GET /zio.com/image?id=61 HTTP/1.1" 500 17028
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:51 +0700] "GET /zio.com/image?id=59 HTTP/1.1" 500 14028
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:51 +0700] "GET /zio.com/image?id=58 HTTP/1.1" 500 10945
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:53 +0700] "GET /zio.com/admin-bill?type=0&page=1&maxPageItem=4&sortName=id&sortBy=desc HTTP/1.1" 200 13512
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:56 +0700] "GET /zio.com/admin-user?type=list&page=1&maxPageItem=4&sortName=username&sortBy=asc HTTP/1.1" 200 17914
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:58 +0700] "GET /zio.com/admin-category HTTP/1.1" 200 15182
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:49:47 +0700] "GET /zio.com/admin-home HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:49:50 +0700] "GET /zio.com/thoat?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:49:50 +0700] "GET /zio.com/dang-nhap?action=login HTTP/1.1" 200 1534
